nasa_id,lat,lon,elev,fclt,distance_deg
ISS048-E-42585,47.8,-29.3,-3.0,50.0,20.366919165521523
ISS048-E-42586,47.8,-29.3,-3.0,50.0,20.366919165521523
ISS048-E-42587,47.7,-28.9,-3.0,50.0,20.082452184419505
ISS048-E-42588,47.6,-28.6,-3.0,50.0,19.863029419055714
ISS048-E-42589,47.5,-28.5,-3.0,50.0,19.774807794506042
ISS048-E-42590,47.5,-28.4,-3.0,50.0,19.70896810399607
ISS048-E-42591,47.3,-27.8,-2.0,50.0,19.26810364624515
ISS048-E-42592,47.3,-27.6,-2.0,50.0,19.1360992546012
ISS048-E-42593,46.5,-25.4,-1.0,78.0,17.487180078156644
ISS048-E-42594,46.0,-24.1,-1.0,78.0,16.49513563925278
ISS048-E-51006,51.3,25.1,-7.0,52.0,22.45831426276691
ISS048-E-51007,51.4,25.6,-7.0,52.0,22.78614091638322
ISS048-E-51008,51.4,25.9,-7.0,52.0,22.96354937070095
ISS048-E-52330,46.9,-29.4,-21.0,70.0,20.25336744348325
ISS048-E-52331,46.5,-28.2,-22.0,70.0,19.371771982738665
ISS048-E-52332,46.3,-27.5,-23.0,70.0,18.860532427540583
ISS048-E-52333,45.6,-25.8,-24.0,70.0,17.570135789090195
ISS048-E-52334,44.4,-22.7,-26.0,70.0,15.199553412343377
ISS048-E-52335,43.6,-21.0,-27.0,70.0,13.862037380887827
