nasa_id,lat,lon,elev,fclt,distance_deg
ISS058-E-1728,51.5,-27.5,-4.0,56.0,20.448337008183973
ISS058-E-2649,30.3,2.3,-54.0,56.0,10.618535889624287
ISS058-E-2652,32.4,21.3,-61.0,56.0,20.94695211309129
ISS058-E-2653,34.2,23.4,-62.0,56.0,21.750593245467496
ISS058-E-6010,51.5,10.4,-44.0,72.0,14.77332022388393
ISS058-E-6011,51.1,15.1,-47.0,72.0,16.76649038931272
ISS058-E-11944,38.2,2.7,-2.0,56.0,4.7744966313340065
ISS058-E-11945,35.9,6.1,-4.0,56.0,8.258256465276219
ISS058-E-11946,30.3,12.8,-9.0,56.0,16.113358115780677
ISS058-E-29236,51.5,-23.5,-29.0,56.0,18.24520594879667
ISS058-E-29281,49.8,-4.8,-26.0,65.0,9.881790687265065
ISS058-E-29282,49.2,-1.8,-25.0,65.0,9.23925778530063
ISS058-E-30006,50.4,22.5,-30.0,56.0,20.608986172514268
