nasa_id,lat,lon,elev,fclt,distance_deg
ISS059-E-1201,40.7,-6.6,-29.0,50.0,2.8312290864255236
ISS059-E-1202,41.3,-5.4,-29.0,50.0,2.2371787061670387
ISS059-E-1205,44.4,0.8,-32.0,78.0,5.22204290674341
ISS059-E-1206,44.6,1.2,-32.0,78.0,5.548874819133132
ISS059-E-1207,45.1,2.4,-32.0,78.0,6.464761445698561
ISS059-E-1208,45.3,2.9,-32.0,78.0,6.845864769429883
ISS059-E-1209,45.7,4.0,-33.0,78.0,7.663809603491259
ISS059-E-1210,46.5,6.1,-33.0,50.0,9.271838361901173
ISS059-E-1211,47.1,7.9,-34.0,50.0,10.6035081458438
ISS059-E-1212,47.9,10.4,-35.0,50.0,12.438493178887834
ISS059-E-1213,48.2,11.5,-35.0,50.0,13.216620010741506
ISS059-E-1214,48.5,12.6,-35.0,50.0,13.994886179306674
ISS059-E-1215,49.3,15.8,-36.0,50.0,16.21818638914582
ISS059-E-1216,50.2,20.5,-37.0,50.0,19.347640183918784
ISS059-E-1217,50.6,22.5,-37.0,50.0,20.67969847253691
ISS059-E-13119,34.0,11.8,-35.0,65.0,13.231777324469022
ISS059-E-75418,51.5,-4.4,-3.0,50.0,11.540838522073617
ISS059-E-75419,51.6,-4.0,-4.0,50.0,11.620631942143078
ISS059-E-75420,51.7,-1.7,-5.0,50.0,11.73447744416109
ISS059-E-75421,51.7,-0.9,-5.0,78.0,11.789752832591015
ISS059-E-75422,51.7,-0.7,-5.0,78.0,11.807579797679598
ISS059-E-86059,51.0,-29.0,-2.0,50.0,21.11852842864086
ISS059-E-86060,50.8,-27.4,-3.0,50.0,20.1084388889899
ISS059-E-86061,50.7,-27.1,-3.0,50.0,19.894613516759176
ISS059-E-86062,50.7,-26.8,-3.0,50.0,19.720239907647294
ISS059-E-86063,50.6,-26.0,-4.0,50.0,19.216385446174634
ISS059-E-86064,50.5,-25.4,-4.0,78.0,18.82849111160861
ISS059-E-86065,50.4,-25.1,-4.0,78.0,18.613045802791515
ISS059-E-86066,50.4,-24.8,-4.0,78.0,18.440718323471977
ISS059-E-86067,50.0,-22.8,-6.0,78.0,17.118657478897195
ISS059-E-86068,49.8,-21.8,-6.0,58.0,16.457799286870532
ISS059-E-88160,47.9,-24.7,-6.0,50.0,17.424262447762786
ISS059-E-88412,48.9,18.8,-3.0,56.0,17.83418093445855
ISS059-E-91137,31.6,0.4,-24.0,70.0,8.839047907192645
