nasa_id,lat,lon,elev,fclt,distance_deg
ISS050-E-12246,50.5,2.5,-41.0,70.0,11.183325776563278
ISS050-E-12241,44.2,-14.2,-37.0,70.0,9.300138117595845
ISS050-E-12242,44.5,-13.5,-38.0,70.0,8.970731175866419
ISS050-E-12243,44.9,-12.7,-38.0,70.0,8.664386488097218
ISS050-E-12244,45.5,-11.2,-39.0,70.0,8.147391603882376
ISS050-E-12245,45.9,-10.2,-40.0,70.0,7.90429249811776
ISS050-E-12247,47.2,-6.3,-42.0,70.0,7.58434218579209
ISS050-E-12248,47.8,-4.6,-43.0,70.0,7.884245673288864
ISS050-E-12249,48.1,-3.6,-44.0,70.0,8.111398540278058
ISS050-E-12250,48.5,-2.1,-45.0,70.0,8.524239612157466
ISS050-E-12253,49.6,2.4,-47.0,70.0,10.329578086950399
ISS050-E-12254,49.6,2.6,-47.0,70.0,10.382520993376918
ISS050-E-12255,49.6,2.8,-48.0,70.0,10.437102615245834
ISS050-E-12256,49.7,2.9,-48.0,66.0,10.555201944062793
ISS050-E-12257,49.8,3.7,-48.0,66.0,10.878035414077104
ISS050-E-12258,49.9,3.9,-48.0,66.0,11.027466421637252
ISS050-E-12259,49.9,4.1,-48.0,62.0,11.090165528256458
ISS050-E-12260,50.6,8.1,-50.0,62.0,13.13451699528944
ISS050-E-12266,51.8,20.8,-55.0,70.0,20.185334410227306
ISS050-E-12267,51.8,22.0,-56.0,70.0,20.8552628041322
ISS050-E-13754,45.1,-14.9,-26.0,66.0,10.127058818272996
ISS050-E-13755,45.6,-13.5,-27.0,66.0,9.511491513391897
ISS050-E-13756,46.1,-12.2,-28.0,66.0,9.06689330753777
ISS050-E-13757,48.3,-5.6,-33.0,66.0,8.505683844799117
ISS050-E-13758,48.5,-4.7,-34.0,66.0,8.58616884823082
ISS050-E-16305,48.7,11.3,-1.0,50.0,13.386976133215002
ISS050-E-16306,49.0,12.4,-2.0,50.0,14.153584874483002
ISS050-E-16338,45.3,1.7,-41.0,78.0,6.325085437972673
ISS050-E-33303,51.6,-4.4,-52.0,56.0,11.640403691871834
ISS050-E-36085,47.1,-12.2,-41.0,70.0,9.726992403870208
ISS050-E-36086,47.3,-11.5,-41.0,70.0,9.533760608834477
ISS050-E-36087,48.1,-8.7,-43.0,66.0,9.070851589613222
ISS050-E-36100,50.1,-0.2,-47.0,70.0,10.289900181355673
ISS050-E-36101,50.1,-0.1,-47.0,70.0,10.303568746385496
ISS050-E-36102,50.4,1.5,-48.0,70.0,10.867377147099477
ISS050-E-36103,50.4,1.6,-48.0,70.0,10.887903627723563
ISS050-E-60040,43.7,-5.2,-30.0,50.0,4.046261226528153
ISS050-E-60041,43.8,-4.9,-30.0,50.0,4.0543005280214635
ISS050-E-60060,48.5,8.1,-34.0,58.0,11.615707761667501
ISS050-E-60063,49.3,11.5,-34.0,78.0,13.845558350410258
ISS050-E-60070,50.8,19.8,-35.0,50.0,19.18606681140298
ISS050-E-60408,43.9,2.4,-27.0,50.0,5.595772148026306
ISS050-E-60413,44.8,4.4,-28.0,50.0,7.267837196319386
ISS050-E-60415,45.8,6.9,-29.0,50.0,9.274264718253324
ISS050-E-60416,45.9,7.1,-29.0,50.0,9.445740549781707
ISS050-E-60417,46.3,8.2,-29.0,50.0,10.301122244828441
ISS050-E-60418,46.4,8.6,-29.0,50.0,10.586723423085008
ISS050-E-60422,48.0,13.3,-30.0,65.0,14.148626153834122
ISS050-E-60434,50.2,23.1,-33.0,65.0,20.901814385907876
ISS050-E-60435,50.4,24.3,-33.0,65.0,21.692058619162093
ISS050-E-64068,51.8,18.4,-32.0,50.0,18.87854679651698
ISS050-E-66001,39.5,20.2,-45.0,50.0,17.793714002253292
ISS050-E-66002,39.4,20.3,-45.0,50.0,17.885968314383547
ISS050-E-66003,39.3,20.5,-46.0,50.0,18.055097794589347
ISS050-E-66004,39.2,20.7,-46.0,78.0,18.224885541624037
ISS050-E-66005,39.1,20.8,-46.0,78.0,18.318992567156823
ISS050-E-66014,38.6,21.6,-46.0,78.0,19.02735739631186
ISS050-E-66016,37.8,22.8,-47.0,50.0,20.127952550163418
