nasa_id,lat,lon,elev,fclt,distance_deg
ISS054-E-61760,49.5,-0.6,-52.0,70.0,9.650315912957455
ISS054-E-61761,49.7,0.4,-53.0,70.0,9.992208740661784
ISS054-E-61762,49.8,1.1,-53.0,70.0,10.217170257541168
ISS054-E-61763,49.9,1.5,-53.0,70.0,10.394671639387202
ISS054-E-61764,50.6,5.5,-54.0,70.0,12.151476721913573
ISS054-E-61765,50.7,6.0,-55.0,70.0,12.408821478635742
ISS054-E-61766,50.8,6.8,-55.0,70.0,12.781120971621132
ISS054-E-61767,51.5,13.1,-56.0,70.0,16.008393206554437
ISS054-E-61768,51.6,14.4,-57.0,70.0,16.70417136437505
ISS054-E-61769,51.6,15.5,-57.0,70.0,17.256507184468514
ISS054-E-63036,43.0,17.5,-65.0,62.0,15.60264224454392
ISS054-E-63039,39.6,23.7,-69.0,70.0,20.440006681263306
ISS054-E-63059,51.4,0.3,-38.0,70.0,11.627480057390828
ISS054-E-63060,49.6,12.0,-46.0,70.0,14.285410018994478
ISS054-E-63061,48.8,15.5,-48.0,70.0,15.813617740912076
ISS054-E-63062,48.7,15.9,-49.0,70.0,16.005516985878312
ISS054-E-63063,48.6,16.2,-49.0,70.0,16.141555957987386
ISS054-E-63064,48.3,17.4,-50.0,70.0,16.75127631298427
ISS054-E-63065,48.2,17.9,-50.0,70.0,17.024144857254672
ISS054-E-63066,48.1,18.3,-50.0,70.0,17.238854257877716
ISS054-E-63067,47.9,18.7,-51.0,70.0,17.424262447762786
ISS054-E-63068,47.8,19.1,-51.0,70.0,17.647089545708045
ISS054-E-63069,47.7,19.6,-51.0,70.0,17.937385422685477
ISS054-E-63070,47.6,20.0,-52.0,70.0,18.166837114664837
ISS054-E-63071,47.4,20.4,-52.0,70.0,18.37284020963579
ISS054-E-63072,47.3,20.8,-52.0,70.0,18.609420905029562
ISS054-E-63073,47.2,21.2,-52.0,70.0,18.84873855115778
ISS054-E-63074,47.0,21.6,-53.0,70.0,19.06872763680197
ISS054-E-63075,46.9,22.0,-53.0,70.0,19.314523079163646
ISS054-E-63076,46.7,22.4,-53.0,70.0,19.54377704495945
ISS054-E-63077,46.6,22.8,-54.0,70.0,19.795631931266673
ISS054-E-63078,46.5,23.3,-54.0,70.0,20.11769133431098
ISS054-E-63079,46.3,23.7,-54.0,70.0,20.35950403617061
ISS054-E-63080,46.2,24.0,-55.0,70.0,20.550808103086915
ISS054-E-63081,46.0,24.4,-55.0,70.0,20.800259849480806
ISS054-E-63082,45.9,24.8,-55.0,70.0,21.06505585082385
ISS054-E-63083,45.7,25.2,-56.0,70.0,21.32212591593761
ISS054-E-63084,45.6,25.6,-56.0,70.0,21.591740537749217
ISS054-E-63085,45.4,26.0,-56.0,70.0,21.856008831586728
ISS054-E-63086,45.3,26.4,-56.0,70.0,22.130134418081163
ISS054-E-63087,45.1,26.8,-57.0,70.0,22.401206057123957
ISS054-E-63250,33.8,22.4,-74.0,70.0,21.15349514507592
