nasa_id,lat,lon,elev,fclt,distance_deg
ISS053-E-84307,46.6,-29.3,-32.0,78.0,20.13411269997576
ISS053-E-84325,32.6,-4.8,-56.0,78.0,7.540339323773665
ISS053-E-55036,47.4,6.4,-45.0,70.0,10.032663423006687
ISS053-E-180324,35.9,4.5,-70.0,50.0,7.192050669650381
ISS053-E-180331,36.2,4.9,-70.0,50.0,7.281812363543862
ISS053-E-180338,36.5,5.3,-69.0,50.0,7.3938936663122865
ISS053-E-180355,37.2,6.3,-68.0,50.0,7.783960716479798
ISS053-E-180394,38.8,8.6,-66.0,50.0,9.037058269897411
ISS053-E-180405,39.2,9.3,-65.0,50.0,9.503396848300627
ISS053-E-180406,39.3,9.4,-65.0,50.0,9.565322938753603
ISS053-E-180423,39.9,10.5,-64.0,50.0,10.339748081092258
ISS053-E-180442,40.6,11.7,-63.0,50.0,11.214216669448987
ISS053-E-180454,41.1,12.5,-62.0,50.0,11.813013501528452
ISS053-E-180460,41.3,12.9,-62.0,50.0,12.115998560372612
ISS053-E-180483,42.1,14.4,-61.0,50.0,13.265001234046931
ISS053-E-180484,42.2,14.5,-61.0,50.0,13.345026868924602
ISS053-E-180491,42.4,15.0,-60.0,50.0,13.727336798416289
ISS053-E-180511,43.1,16.4,-59.0,50.0,14.809949363459522
ISS053-E-180531,43.8,17.8,-58.0,50.0,15.894718706067225
ISS053-E-180544,44.2,18.8,-57.0,50.0,16.65658990097607
ISS053-E-180545,44.3,18.9,-57.0,50.0,16.740091987955243
ISS053-E-180555,44.6,19.6,-56.0,50.0,17.27424359800636
ISS053-E-180558,44.7,19.8,-56.0,50.0,17.428480991328534
ISS053-E-180602,46.0,23.2,-53.0,50.0,19.973778570735107
ISS053-E-180607,46.2,23.6,-53.0,50.0,20.276653385823874
ISS053-E-180613,46.4,24.1,-52.0,50.0,20.64715894349352
ISS053-E-180616,46.4,24.3,-52.0,50.0,20.783691069613138
ISS053-E-180618,46.5,24.5,-52.0,50.0,20.934176631624034
ISS053-E-180628,46.8,25.3,-51.0,50.0,21.52015148156446
ISS053-E-180631,46.9,25.5,-51.0,50.0,21.669692012387188
ISS053-E-180634,46.9,25.8,-51.0,50.0,21.87267626583695
ISS053-E-180644,47.2,26.6,-50.0,50.0,22.453601295671252
ISS053-E-37319,35.4,15.4,-33.0,50.0,15.235070878687024
ISS053-E-37321,38.0,19.1,-34.0,50.0,17.24617433352641
ISS053-E-37325,39.5,21.5,-35.0,50.0,18.78383480649733
ISS053-E-84310,45.7,-26.9,-34.0,78.0,18.34474698395791
ISS053-E-180344,36.8,5.6,-69.0,50.0,7.456366726222976
ISS053-E-180352,37.1,6.1,-69.0,50.0,7.6802247053226855
ISS053-E-180358,37.3,6.5,-68.0,50.0,7.890282941307327
ISS053-E-180362,37.5,6.7,-68.0,50.0,7.962232528844793
ISS053-E-180386,38.5,8.2,-67.0,50.0,8.795759968382582
ISS053-E-180416,39.6,10.0,-65.0,50.0,9.986834410898389
ISS053-E-180419,39.8,10.2,-65.0,50.0,10.119299699630904
ISS053-E-180420,39.8,10.3,-64.0,50.0,10.195789234660904
ISS053-E-180500,42.7,15.6,-60.0,50.0,14.190811213795364
ISS053-E-180507,43.0,16.1,-59.0,50.0,14.582254651063378
ISS053-E-180516,43.3,16.8,-59.0,50.0,15.119816499322338
ISS053-E-180526,43.6,17.5,-58.0,50.0,15.656744350809774
ISS053-E-180529,43.7,17.7,-58.0,50.0,15.811586860905184
ISS053-E-180627,46.8,25.2,-52.0,50.0,21.452387221609175
ISS053-E-180641,47.1,26.4,-51.0,50.0,22.305275254217133
ISS053-E-180647,47.3,26.8,-50.0,50.0,22.60174142732947
ISS053-E-37305,31.0,10.1,-30.0,50.0,13.927700668119341
ISS053-E-37338,41.3,24.6,-36.0,50.0,20.892273328690383
ISS053-E-37339,41.4,24.7,-36.0,50.0,20.9574099633177
ISS053-E-37346,41.8,25.5,-36.0,50.0,21.51791571032078
ISS053-E-84322,33.4,-5.8,-55.0,78.0,6.970270200939568
ISS053-E-84328,30.4,-2.3,-59.0,78.0,9.61692638570309
ISS053-E-468294,48.4,-30.5,-41.0,50.0,21.281829049256558
ISS053-E-357246,32.4,-2.5,-55.0,70.0,7.610661795476854
ISS053-E-180313,35.5,3.9,-71.0,50.0,7.0681655485969115
ISS053-E-180323,35.9,4.4,-70.0,50.0,7.127496444529234
ISS053-E-180330,36.2,4.8,-70.0,50.0,7.214895456962731
ISS053-E-180333,36.3,5.0,-70.0,50.0,7.294177999876124
ISS053-E-180339,36.6,5.4,-69.0,50.0,7.412793747961696
ISS053-E-180341,36.6,5.5,-69.0,50.0,7.482513557210322
ISS053-E-180353,37.1,6.2,-69.0,50.0,7.752585362330392
ISS053-E-180387,38.5,8.2,-67.0,50.0,8.795759968382582
ISS053-E-180396,38.9,8.8,-66.0,50.0,9.170983448720582
ISS053-E-180403,39.1,9.2,-66.0,50.0,9.442515287443562
ISS053-E-180411,39.4,9.7,-65.0,50.0,9.78147306734943
ISS053-E-180426,40.0,10.7,-64.0,50.0,10.48444734560967
ISS053-E-180443,40.7,11.8,-63.0,50.0,11.287446038694549
ISS053-E-180451,41.0,12.3,-63.0,50.0,11.662058416751165
ISS053-E-180453,41.0,12.4,-62.0,50.0,11.737529162978031
ISS053-E-180465,41.5,13.2,-62.0,50.0,12.345394451066156
ISS053-E-180475,41.8,13.9,-61.0,50.0,12.878682030764846
ISS053-E-180485,42.2,14.6,-60.0,50.0,13.418963056544552
ISS053-E-180505,42.9,16.0,-59.0,50.0,14.500252180587584
ISS053-E-180519,43.4,17.0,-58.0,50.0,15.274788636495465
ISS053-E-180533,43.9,18.0,-57.0,50.0,16.049668716733077
ISS053-E-180534,43.9,18.0,-57.0,50.0,16.049668716733077
ISS053-E-180539,44.1,18.4,-57.0,50.0,16.3594738895544
ISS053-E-180557,44.6,19.7,-56.0,50.0,17.344840858517976
ISS053-E-180575,45.2,21.1,-55.0,50.0,18.407636457896377
ISS053-E-180582,45.4,21.6,-54.0,50.0,18.78353276294691
ISS053-E-180593,45.8,22.5,-54.0,50.0,19.46324048299647
ISS053-E-180598,45.9,22.9,-53.0,50.0,19.75321441183055
ISS053-E-180629,46.8,25.4,-51.0,50.0,21.587932120668814
ISS053-E-180649,47.3,27.0,-50.0,50.0,22.73612681657297
ISS053-E-37307,31.9,11.1,-30.0,50.0,13.968182314250013
ISS053-E-37311,33.9,13.6,-32.0,50.0,14.57061040949032
ISS053-E-37316,34.5,14.3,-32.0,50.0,14.797191441813803
ISS053-E-37323,39.2,20.9,-35.0,50.0,18.377466587024742
ISS053-E-37330,40.4,23.0,-35.0,50.0,19.790843335052955
ISS053-E-37331,40.5,23.2,-35.0,50.0,19.929217027155886
ISS053-E-84306,46.6,-29.3,-32.0,78.0,20.13411269997576
ISS053-E-84312,43.6,-22.0,-38.0,65.0,14.578594207469061
ISS053-E-180343,36.7,5.6,-69.0,50.0,7.503874160734502
ISS053-E-180346,36.8,5.8,-69.0,50.0,7.59802325524347
ISS053-E-180376,38.1,7.5,-67.0,50.0,8.367192113882634
ISS053-E-180391,38.7,8.5,-66.0,50.0,8.980799986314944
ISS053-E-180397,38.9,8.8,-66.0,50.0,9.170983448720582
ISS053-E-180412,39.5,9.8,-65.0,50.0,9.84539347753243
ISS053-E-180446,40.8,12.0,-63.0,50.0,11.437040601032315
ISS053-E-180467,41.6,13.4,-62.0,50.0,12.498078596098459
ISS053-E-180476,41.9,14.0,-61.0,50.0,12.957604503078773
ISS053-E-180488,42.3,14.8,-60.0,50.0,13.573079812065492
ISS053-E-180495,42.6,15.3,-60.0,50.0,13.962833331969167
