nasa_id,lat,lon,elev,fclt,distance_deg
ISS055-E-1899,26.3,26.3,-67.0,56.0,27.908905205832248
ISS055-E-1901,47.5,13.3,-39.0,56.0,13.917560524534581
ISS055-E-7033,39.6,-5.5,-46.0,70.0,1.9618451265924723
ISS055-E-70610,48.8,20.2,-20.0,56.0,18.66154407563782
ISS055-E-78720,42.4,-7.3,-2.0,65.0,4.027471671788567
ISS055-E-78721,49.9,14.5,-9.0,65.0,15.788630438369363
ISS055-E-78722,51.3,24.3,-12.0,65.0,21.987377363078057
ISS055-E-107547,11.5,-7.7,-1.0,62.0,28.80163721241975
ISS055-E-107548,11.5,-7.7,-1.0,62.0,28.80163721241975
ISS055-E-107549,11.5,-7.7,-1.0,62.0,28.80163721241975
