nasa_id,lat,lon,elev,fclt,distance_deg
ISS047-E-13920,24.2,7.6,-54.0,50.0,18.140755213557497
ISS047-E-13921,24.3,7.7,-54.0,50.0,18.093231054299906
ISS047-E-13922,24.4,7.8,-54.0,50.0,18.046442051197708
ISS047-E-13923,24.5,8.0,-54.0,50.0,18.043191291793768
ISS047-E-13924,24.6,8.1,-54.0,50.0,17.998341819886917
ISS047-E-13925,24.7,8.2,-54.0,50.0,17.95423999648574
ISS047-E-13926,24.8,8.3,-54.0,50.0,17.910889938358448
ISS047-E-13927,24.9,8.4,-54.0,50.0,17.868295703122605
ISS047-E-13928,25.0,8.4,-54.0,50.0,17.78138620047018
ISS047-E-13929,25.2,8.6,-54.0,50.0,17.69910631594181
ISS047-E-13930,25.3,8.7,-54.0,50.0,17.659122834591876
ISS047-E-13931,25.4,8.8,-54.0,50.0,17.619915421312967
ISS047-E-13932,25.5,8.9,-54.0,50.0,17.58148780589203
ISS047-E-13933,25.6,9.0,-54.0,50.0,17.543843642502807
ISS047-E-13934,25.7,9.1,-54.0,50.0,17.506986507245223
ISS047-E-13935,26.9,10.2,-54.0,50.0,17.074024533598745
ISS047-E-13936,26.9,10.3,-54.0,50.0,17.127273681034023
ISS047-E-13937,27.0,10.3,-54.0,50.0,17.04725641109261
ISS047-E-13938,27.0,10.4,-54.0,50.0,17.100933453559353
ISS047-E-13939,27.0,10.4,-54.0,50.0,17.100933453559353
ISS047-E-13940,27.1,10.5,-54.0,50.0,17.07542079419714
ISS047-E-13941,27.1,10.5,-54.0,50.0,17.07542079419714
ISS047-E-13942,27.2,10.5,-54.0,50.0,16.996211912046313
ISS047-E-13943,27.2,10.6,-54.0,50.0,17.050737828993555
ISS047-E-13944,27.3,10.6,-54.0,50.0,16.97193983793213
ISS047-E-13945,27.3,10.7,-54.0,50.0,17.026886570473582
ISS047-E-13946,27.4,10.7,-54.0,50.0,16.94850389071075
ISS047-E-13947,27.4,10.8,-54.0,50.0,17.003868915834975
ISS047-E-13948,27.5,10.8,-54.0,50.0,16.925905931358418
ISS047-E-13949,27.5,10.9,-54.0,50.0,16.981686645209123
ISS047-E-13950,27.6,10.9,-54.0,50.0,16.90414770156393
ISS047-E-13951,27.6,11.0,-54.0,50.0,16.960341419991877
ISS047-E-13952,27.7,11.0,-54.0,50.0,16.883230822066004
ISS047-E-13953,27.7,11.1,-54.0,50.0,16.939834781247146
