	Photo Date	Lat	Lon	Geographic Name	Features Identified Manually	Focal Length (mm)	Features Identified by Machine Learning	Record Type
ISS061-E-132014	20200118	32.6	-23.0			50		Not Cataloged
ISS061-E-132015	20200118	32.6	-23.0			50		Not Cataloged
ISS061-E-132016	20200118	32.6	-23.0			50		Not Cataloged
ISS061-E-132017	20200118	32.6	-22.9			50		Not Cataloged
ISS061-E-132018	20200118	32.6	-22.9			50		Not Cataloged
ISS061-E-132019	20200118	32.7	-22.9			50		Not Cataloged
ISS061-E-132020	20200118	32.7	-22.9			50		Not Cataloged
ISS061-E-132021	20200118	32.7	-22.8			50		Not Cataloged
ISS061-E-132022	20200118	32.7	-22.8			50		Not Cataloged
ISS061-E-132023	20200118	32.8	-22.8			50		Not Cataloged
ISS061-E-132024	20200118	32.8	-22.8			50		Not Cataloged
ISS061-E-132025	20200118	32.8	-22.7			50		Not Cataloged
ISS061-E-132026	20200118	32.8	-22.7			50		Not Cataloged
ISS061-E-132027	20200118	32.9	-22.7			50		Not Cataloged
ISS061-E-132028	20200118	32.9	-22.7			50		Not Cataloged
ISS061-E-132029	20200118	32.9	-22.6			50		Not Cataloged
ISS061-E-132030	20200118	32.9	-22.6			50		Not Cataloged
ISS061-E-132031	20200118	33.0	-22.6			50		Not Cataloged
ISS061-E-132032	20200118	33.0	-22.6			50		Not Cataloged
ISS061-E-132033	20200118	33.0	-22.5			50		Not Cataloged
ISS061-E-132034	20200118	33.0	-22.5			50		Not Cataloged
ISS061-E-132035	20200118	33.0	-22.5			50		Not Cataloged
ISS061-E-132036	20200118	33.0	-22.5			50		Not Cataloged
ISS061-E-132037	20200118	33.1	-22.4			50		Not Cataloged
ISS061-E-132038	20200118	33.1	-22.4			50		Not Cataloged
ISS061-E-132039	20200118	33.1	-22.4			50		Not Cataloged
ISS061-E-132040	20200118	33.1	-22.4			50		Not Cataloged
ISS061-E-132041	20200118	33.2	-22.3			50		Not Cataloged
ISS061-E-132042	20200118	33.2	-22.3			50		Not Cataloged
ISS061-E-132043	20200118	33.2	-22.3			50		Not Cataloged
ISS061-E-132044	20200118	33.2	-22.3			50		Not Cataloged
ISS061-E-132045	20200118	33.3	-22.2			50		Not Cataloged
ISS061-E-132046	20200118	33.3	-22.2			50		Not Cataloged
ISS061-E-132047	20200118	33.3	-22.1			50		Not Cataloged
ISS061-E-132048	20200118	33.3	-22.1			50		Not Cataloged
ISS061-E-132049	20200118	33.3	-22.1			50		Not Cataloged
ISS061-E-132050	20200118	33.3	-22.1			50		Not Cataloged
ISS061-E-132051	20200118	33.4	-22.0			50		Not Cataloged
ISS061-E-132052	20200118	33.4	-22.0			50		Not Cataloged
ISS061-E-132053	20200118	33.4	-22.0			50		Not Cataloged
ISS061-E-132054	20200118	33.4	-22.0			50		Not Cataloged
ISS061-E-132055	20200118	33.5	-21.9			50		Not Cataloged
ISS061-E-132056	20200118	33.5	-21.9			50		Not Cataloged
ISS061-E-132057	20200118	33.5	-21.9			50		Not Cataloged
ISS061-E-132058	20200118	33.5	-21.9			50		Not Cataloged
ISS061-E-132059	20200118	33.6	-21.8			50		Not Cataloged
ISS061-E-132060	20200118	33.6	-21.8			50		Not Cataloged
ISS061-E-132061	20200118	33.6	-21.8			50		Not Cataloged
ISS061-E-132062	20200118	33.6	-21.8			50		Not Cataloged
ISS061-E-132063	20200118	33.6	-21.7			50		Not Cataloged
ISS061-E-132064	20200118	33.6	-21.7			50		Not Cataloged
ISS061-E-132065	20200118	33.7	-21.7			50		Not Cataloged
ISS061-E-132066	20200118	33.7	-21.7			50		Not Cataloged
ISS061-E-132067	20200118	33.7	-21.6			50		Not Cataloged
ISS061-E-132068	20200118	33.7	-21.6			50		Not Cataloged
ISS061-E-132069	20200118	33.8	-21.6			50		Not Cataloged
ISS061-E-132070	20200118	33.8	-21.6			50		Not Cataloged
ISS061-E-132071	20200118	33.8	-21.5			50		Not Cataloged
ISS061-E-132072	20200118	33.8	-21.5			50		Not Cataloged
ISS061-E-132073	20200118	33.9	-21.5			50		Not Cataloged
ISS061-E-132074	20200118	33.9	-21.5			50		Not Cataloged
ISS061-E-132075	20200118	33.9	-21.4			50		Not Cataloged
ISS061-E-132076	20200118	33.9	-21.4			50		Not Cataloged
ISS061-E-132077	20200118	34.0	-21.3			50		Not Cataloged
ISS061-E-132078	20200118	34.0	-21.3			50		Not Cataloged
ISS061-E-132079	20200118	34.0	-21.3			50		Not Cataloged
ISS061-E-132080	20200118	34.0	-21.3			50		Not Cataloged
ISS061-E-132081	20200118	34.0	-21.2			50		Not Cataloged
ISS061-E-132082	20200118	34.0	-21.2			50		Not Cataloged
ISS061-E-132083	20200118	34.1	-21.2			50		Not Cataloged
ISS061-E-132084	20200118	34.1	-21.2			50		Not Cataloged
ISS061-E-132085	20200118	34.1	-21.1			50		Not Cataloged
ISS061-E-132086	20200118	34.1	-21.1			50		Not Cataloged
ISS061-E-132087	20200118	34.2	-21.1			50		Not Cataloged
ISS061-E-132088	20200118	34.2	-21.1			50		Not Cataloged
ISS061-E-132089	20200118	34.2	-21.0			50		Not Cataloged
ISS061-E-132090	20200118	34.2	-21.0			50		Not Cataloged
ISS061-E-132091	20200118	34.3	-21.0			50		Not Cataloged
ISS061-E-132092	20200118	34.3	-21.0			50		Not Cataloged
ISS061-E-132093	20200118	34.3	-20.9			50		Not Cataloged
ISS061-E-132094	20200118	34.3	-20.9			50		Not Cataloged
ISS061-E-132095	20200118	34.3	-20.9			50		Not Cataloged
ISS061-E-132096	20200118	34.3	-20.9			50		Not Cataloged
ISS061-E-132097	20200118	34.4	-20.8			50		Not Cataloged
ISS061-E-132098	20200118	34.4	-20.8			50		Not Cataloged
ISS061-E-132099	20200118	34.4	-20.7			50		Not Cataloged
ISS061-E-132100	20200118	34.4	-20.7			50		Not Cataloged
ISS061-E-132101	20200118	34.5	-20.7			50		Not Cataloged
ISS061-E-132102	20200118	34.5	-20.7			50		Not Cataloged
ISS061-E-132103	20200118	34.5	-20.6			50		Not Cataloged
ISS061-E-132104	20200118	34.5	-20.6			50		Not Cataloged
ISS061-E-132105	20200118	34.6	-20.6			50		Not Cataloged
ISS061-E-132106	20200118	34.6	-20.6			50		Not Cataloged
ISS061-E-132107	20200118	34.6	-20.5			50		Not Cataloged
ISS061-E-132108	20200118	34.6	-20.5			50		Not Cataloged
ISS061-E-132109	20200118	34.6	-20.5			50		Not Cataloged
ISS061-E-132110	20200118	34.6	-20.5			50		Not Cataloged
ISS061-E-132111	20200118	34.7	-20.4			50		Not Cataloged
ISS061-E-132112	20200118	34.7	-20.4			50		Not Cataloged
ISS061-E-132113	20200118	34.7	-20.4			50		Not Cataloged
ISS061-E-132114	20200118	34.7	-20.4			50		Not Cataloged
ISS061-E-132115	20200118	34.8	-20.3			50		Not Cataloged
ISS061-E-132116	20200118	34.8	-20.3			50		Not Cataloged
ISS061-E-132117	20200118	34.8	-20.3			50		Not Cataloged
ISS061-E-132118	20200118	34.8	-20.3			50		Not Cataloged
ISS061-E-132119	20200118	34.9	-20.2			50		Not Cataloged
ISS061-E-132120	20200118	34.9	-20.2			50		Not Cataloged
ISS061-E-132121	20200118	34.9	-20.1			50		Not Cataloged
ISS061-E-132122	20200118	34.9	-20.1			50		Not Cataloged
ISS061-E-132123	20200118	34.9	-20.1			50		Not Cataloged
ISS061-E-132124	20200118	34.9	-20.1			50		Not Cataloged
ISS061-E-132125	20200118	35.0	-20.0			50		Not Cataloged
ISS061-E-132126	20200118	35.0	-20.0			50		Not Cataloged
ISS061-E-132127	20200118	35.0	-20.0			50		Not Cataloged
ISS061-E-132128	20200118	35.0	-20.0			50		Not Cataloged
ISS061-E-132129	20200118	35.1	-19.9			50		Not Cataloged
ISS061-E-132130	20200118	35.1	-19.9			50		Not Cataloged
ISS061-E-132131	20200118	35.1	-19.9			50		Not Cataloged
ISS061-E-132132	20200118	35.1	-19.9			50		Not Cataloged
ISS061-E-132133	20200118	35.1	-19.8			50		Not Cataloged
ISS061-E-132134	20200118	35.1	-19.8			50		Not Cataloged
ISS061-E-132135	20200118	35.2	-19.8			50		Not Cataloged
ISS061-E-132136	20200118	35.2	-19.8			50		Not Cataloged
ISS061-E-132137	20200118	35.2	-19.7			50		Not Cataloged
ISS061-E-132138	20200118	35.2	-19.7			50		Not Cataloged
ISS061-E-132139	20200118	35.3	-19.6			50		Not Cataloged
ISS061-E-132140	20200118	35.3	-19.6			50		Not Cataloged
ISS061-E-132141	20200118	35.3	-19.6			50		Not Cataloged
ISS061-E-132142	20200118	35.3	-19.6			50		Not Cataloged
ISS061-E-132143	20200118	35.4	-19.5			50		Not Cataloged
ISS061-E-132144	20200118	35.4	-19.5			50		Not Cataloged
ISS061-E-132145	20200118	35.4	-19.5			50		Not Cataloged
ISS061-E-132146	20200118	35.4	-19.5			50		Not Cataloged
ISS061-E-132147	20200118	35.4	-19.4			50		Not Cataloged
ISS061-E-132148	20200118	35.4	-19.4			50		Not Cataloged
ISS061-E-132149	20200118	35.5	-19.4			50		Not Cataloged
ISS061-E-132150	20200118	35.5	-19.4			50		Not Cataloged
ISS061-E-132151	20200118	35.5	-19.3			50		Not Cataloged
ISS061-E-132152	20200118	35.5	-19.3			50		Not Cataloged
ISS061-E-132153	20200118	35.6	-19.3			50		Not Cataloged
ISS061-E-132154	20200118	35.6	-19.3			50		Not Cataloged
ISS061-E-132155	20200118	35.6	-19.2			50		Not Cataloged
ISS061-E-132156	20200118	35.6	-19.2			50		Not Cataloged
ISS061-E-132157	20200118	35.7	-19.1			50		Not Cataloged
ISS061-E-132158	20200118	35.7	-19.1			50		Not Cataloged
ISS061-E-132159	20200118	35.7	-19.1			50		Not Cataloged
ISS061-E-132160	20200118	35.7	-19.1			50		Not Cataloged
ISS061-E-132161	20200118	35.7	-19.0			50		Not Cataloged
ISS061-E-132162	20200118	35.7	-19.0			50		Not Cataloged
ISS061-E-132163	20200118	35.8	-19.0			50		Not Cataloged
ISS061-E-132164	20200118	35.8	-19.0			50		Not Cataloged
ISS061-E-132165	20200118	35.8	-18.9			50		Not Cataloged
ISS061-E-132166	20200118	35.8	-18.9			50		Not Cataloged
ISS061-E-132167	20200118	35.9	-18.9			50		Not Cataloged
ISS061-E-132168	20200118	35.9	-18.9			50		Not Cataloged
ISS061-E-132169	20200118	35.9	-18.8			50		Not Cataloged
ISS061-E-132170	20200118	35.9	-18.8			50		Not Cataloged
ISS061-E-132171	20200118	35.9	-18.7			50		Not Cataloged
ISS061-E-132172	20200118	35.9	-18.7			50		Not Cataloged
ISS061-E-132173	20200118	36.0	-18.7			50		Not Cataloged
ISS061-E-132174	20200118	36.0	-18.7			50		Not Cataloged
ISS061-E-132175	20200118	36.0	-18.6			50		Not Cataloged
ISS061-E-132176	20200118	36.0	-18.6			50		Not Cataloged
ISS061-E-132177	20200118	36.1	-18.6			50		Not Cataloged
ISS061-E-132178	20200118	36.1	-18.6			50		Not Cataloged
ISS061-E-132179	20200118	36.1	-18.5			50		Not Cataloged
ISS061-E-132180	20200118	36.1	-18.5			50		Not Cataloged
ISS061-E-132181	20200118	36.2	-18.5			50		Not Cataloged
ISS061-E-132182	20200118	36.2	-18.5			50		Not Cataloged
ISS061-E-132183	20200118	36.2	-18.4			50		Not Cataloged
ISS061-E-132184	20200118	36.2	-18.4			50		Not Cataloged
ISS061-E-132185	20200118	36.2	-18.3			50		Not Cataloged
ISS061-E-132186	20200118	36.2	-18.3			50		Not Cataloged
ISS061-E-132187	20200118	36.3	-18.3			50		Not Cataloged
ISS061-E-132188	20200118	36.3	-18.3			50		Not Cataloged
ISS061-E-132189	20200118	36.3	-18.2			50		Not Cataloged
ISS061-E-132190	20200118	36.3	-18.2			50		Not Cataloged
ISS061-E-132191	20200118	36.4	-18.2			50		Not Cataloged
ISS061-E-132192	20200118	36.4	-18.2			50		Not Cataloged
ISS061-E-132193	20200118	36.4	-18.1			50		Not Cataloged
ISS061-E-132194	20200118	36.4	-18.1			50		Not Cataloged
ISS061-E-132195	20200118	36.4	-18.1			50		Not Cataloged
ISS061-E-132196	20200118	36.4	-18.1			50		Not Cataloged
ISS061-E-132197	20200118	36.5	-18.0			50		Not Cataloged
ISS061-E-132198	20200118	36.5	-18.0			50		Not Cataloged
ISS061-E-132199	20200118	36.5	-17.9			50		Not Cataloged
ISS061-E-132200	20200118	36.5	-17.9			50		Not Cataloged
ISS061-E-132201	20200118	36.6	-17.9			50		Not Cataloged
ISS061-E-132202	20200118	36.6	-17.9			50		Not Cataloged
ISS061-E-132203	20200118	36.6	-17.8			50		Not Cataloged
ISS061-E-132204	20200118	36.6	-17.8			50		Not Cataloged
ISS061-E-132205	20200118	36.7	-17.8			50		Not Cataloged
ISS061-E-132206	20200118	36.7	-17.8			50		Not Cataloged
ISS061-E-132207	20200118	36.7	-17.7			50		Not Cataloged
ISS061-E-132208	20200118	36.7	-17.7			50		Not Cataloged
ISS061-E-132209	20200118	36.7	-17.7			50		Not Cataloged
ISS061-E-132210	20200118	36.7	-17.7			50		Not Cataloged
ISS061-E-132211	20200118	36.8	-17.6			50		Not Cataloged
ISS061-E-132212	20200118	36.8	-17.6			50		Not Cataloged
ISS061-E-132213	20200118	36.8	-17.5			50		Not Cataloged
ISS061-E-132214	20200118	36.8	-17.5			50		Not Cataloged
ISS061-E-132215	20200118	36.9	-17.5			50		Not Cataloged
ISS061-E-132216	20200118	36.9	-17.5			50		Not Cataloged
ISS061-E-132217	20200118	36.9	-17.4			50		Not Cataloged
ISS061-E-132218	20200118	36.9	-17.4			50		Not Cataloged
ISS061-E-132219	20200118	36.9	-17.4			50		Not Cataloged
ISS061-E-132220	20200118	36.9	-17.4			50		Not Cataloged
ISS061-E-132221	20200118	37.0	-17.3			50		Not Cataloged
ISS061-E-132222	20200118	37.0	-17.3			50		Not Cataloged
ISS061-E-132223	20200118	37.0	-17.2			50		Not Cataloged
ISS061-E-132224	20200118	37.0	-17.2			50		Not Cataloged
ISS061-E-132225	20200118	37.1	-17.2			50		Not Cataloged
ISS061-E-132226	20200118	37.1	-17.2			50		Not Cataloged
ISS061-E-132227	20200118	37.1	-17.1			50		Not Cataloged
ISS061-E-132228	20200118	37.1	-17.1			50		Not Cataloged
ISS061-E-132229	20200118	37.1	-17.1			50		Not Cataloged
ISS061-E-132230	20200118	37.1	-17.1			50		Not Cataloged
ISS061-E-132231	20200118	37.2	-17.0			50		Not Cataloged
ISS061-E-132232	20200118	37.2	-17.0			50		Not Cataloged
ISS061-E-132233	20200118	37.2	-17.0			50		Not Cataloged
ISS061-E-132234	20200118	37.2	-17.0			50		Not Cataloged
ISS061-E-132235	20200118	37.3	-16.9			50		Not Cataloged
ISS061-E-132236	20200118	37.3	-16.9			50		Not Cataloged
ISS061-E-132237	20200118	37.3	-16.8			50		Not Cataloged
ISS061-E-132238	20200118	37.3	-16.8			50		Not Cataloged
ISS061-E-132239	20200118	37.3	-16.8			50		Not Cataloged
ISS061-E-132240	20200118	37.3	-16.8			50		Not Cataloged
ISS061-E-132241	20200118	37.4	-16.7			50		Not Cataloged
ISS061-E-132242	20200118	37.4	-16.7			50		Not Cataloged
ISS061-E-132243	20200118	37.4	-16.7			50		Not Cataloged
ISS061-E-132244	20200118	37.4	-16.7			50		Not Cataloged
ISS061-E-132245	20200118	37.5	-16.6			50		Not Cataloged
ISS061-E-132246	20200118	37.5	-16.6			50		Not Cataloged
ISS061-E-132247	20200118	37.5	-16.5			50		Not Cataloged
ISS061-E-132248	20200118	37.5	-16.5			50		Not Cataloged
ISS061-E-132249	20200118	37.5	-16.5			50		Not Cataloged
ISS061-E-132250	20200118	37.5	-16.5			50		Not Cataloged
ISS061-E-132251	20200118	37.6	-16.4			50		Not Cataloged
ISS061-E-132252	20200118	37.6	-16.4			50		Not Cataloged
ISS061-E-132253	20200118	37.6	-16.4			50		Not Cataloged
ISS061-E-132254	20200118	37.6	-16.4			50		Not Cataloged
ISS061-E-132255	20200118	37.7	-16.3			50		Not Cataloged
ISS061-E-132256	20200118	37.7	-16.3			50		Not Cataloged
ISS061-E-132257	20200118	37.7	-16.2			50		Not Cataloged
ISS061-E-132258	20200118	37.7	-16.2			50		Not Cataloged
ISS061-E-132259	20200118	37.8	-16.2			50		Not Cataloged
ISS061-E-132260	20200118	37.8	-16.2			50		Not Cataloged
ISS061-E-132261	20200118	37.8	-16.1			50		Not Cataloged
ISS061-E-132262	20200118	37.8	-16.1			50		Not Cataloged
ISS061-E-132263	20200118	37.8	-16.1			50		Not Cataloged
ISS061-E-132264	20200118	37.8	-16.1			50		Not Cataloged
ISS061-E-132265	20200118	37.9	-16.0			50		Not Cataloged
ISS061-E-132266	20200118	37.9	-16.0			50		Not Cataloged
ISS061-E-132267	20200118	37.9	-15.9			50		Not Cataloged
ISS061-E-132268	20200118	37.9	-15.9			50		Not Cataloged
ISS061-E-132269	20200118	38.0	-15.9			50		Not Cataloged
ISS061-E-132270	20200118	38.0	-15.9			50		Not Cataloged
ISS061-E-132271	20200118	38.0	-15.8			50		Not Cataloged
ISS061-E-132272	20200118	38.0	-15.8			50		Not Cataloged
ISS061-E-132273	20200118	38.0	-15.8			50		Not Cataloged
ISS061-E-132274	20200118	38.0	-15.8			50		Not Cataloged
ISS061-E-132275	20200118	38.1	-15.7			50		Not Cataloged
ISS061-E-132276	20200118	38.1	-15.7			50		Not Cataloged
ISS061-E-132277	20200118	38.1	-15.6			50		Not Cataloged
ISS061-E-132278	20200118	38.1	-15.6			50		Not Cataloged
ISS061-E-132279	20200118	38.2	-15.6			50		Not Cataloged
ISS061-E-132280	20200118	38.2	-15.6			50		Not Cataloged
ISS061-E-132281	20200118	38.2	-15.5			50		Not Cataloged
ISS061-E-132282	20200118	38.2	-15.5			50		Not Cataloged
ISS061-E-132283	20200118	38.2	-15.5			50		Not Cataloged
ISS061-E-132284	20200118	38.2	-15.5			50		Not Cataloged
ISS061-E-132285	20200118	38.3	-15.4			50		Not Cataloged
ISS061-E-132286	20200118	38.3	-15.4			50		Not Cataloged
ISS061-E-132287	20200118	38.3	-15.3			50		Not Cataloged
ISS061-E-132288	20200118	38.3	-15.3			50		Not Cataloged
ISS061-E-132289	20200118	38.4	-15.3			50		Not Cataloged
ISS061-E-132290	20200118	38.4	-15.3			50		Not Cataloged
ISS061-E-132291	20200118	38.4	-15.2			50		Not Cataloged
ISS061-E-132292	20200118	38.4	-15.2			50		Not Cataloged
ISS061-E-132293	20200118	38.4	-15.2			50		Not Cataloged
ISS061-E-132294	20200118	38.4	-15.2			50		Not Cataloged
ISS061-E-132295	20200118	38.5	-15.1			50		Not Cataloged
ISS061-E-132296	20200118	38.5	-15.1			50		Not Cataloged
ISS061-E-132297	20200118	38.5	-15.0			50		Not Cataloged
ISS061-E-132298	20200118	38.5	-15.0			50		Not Cataloged
ISS061-E-132299	20200118	38.5	-15.0			50		Not Cataloged
ISS061-E-132300	20200118	38.5	-15.0			50		Not Cataloged
ISS061-E-132301	20200118	38.6	-14.9			50		Not Cataloged
ISS061-E-132302	20200118	38.6	-14.9			50		Not Cataloged
ISS061-E-132303	20200118	38.6	-14.9			50		Not Cataloged
ISS061-E-132304	20200118	38.6	-14.9			50		Not Cataloged
ISS061-E-132305	20200118	38.7	-14.8			50		Not Cataloged
ISS061-E-132306	20200118	38.7	-14.8			50		Not Cataloged
ISS061-E-132307	20200118	38.7	-14.7			50		Not Cataloged
ISS061-E-132308	20200118	38.7	-14.7			50		Not Cataloged
ISS061-E-132309	20200118	38.7	-14.7			50		Not Cataloged
ISS061-E-132310	20200118	38.7	-14.7			50		Not Cataloged
ISS061-E-132311	20200118	38.8	-14.6			50		Not Cataloged
ISS061-E-132312	20200118	38.8	-14.6			50		Not Cataloged
ISS061-E-132313	20200118	38.8	-14.5			50		Not Cataloged
ISS061-E-132314	20200118	38.8	-14.5			50		Not Cataloged
ISS061-E-132315	20200118	38.9	-14.5			50		Not Cataloged
ISS061-E-132316	20200118	38.9	-14.5			50		Not Cataloged
ISS061-E-132317	20200118	38.9	-14.4			50		Not Cataloged
ISS061-E-132318	20200118	38.9	-14.4			50		Not Cataloged
ISS061-E-132319	20200118	38.9	-14.4			50		Not Cataloged
ISS061-E-132320	20200118	38.9	-14.4			50		Not Cataloged
ISS061-E-132321	20200118	39.0	-14.3			50		Not Cataloged
ISS061-E-132322	20200118	39.0	-14.3			50		Not Cataloged
ISS061-E-132323	20200118	39.0	-14.2			50		Not Cataloged
ISS061-E-132324	20200118	39.0	-14.2			50		Not Cataloged
ISS061-E-132325	20200118	39.1	-14.2			50		Not Cataloged
ISS061-E-132326	20200118	39.1	-14.2			50		Not Cataloged
ISS061-E-132327	20200118	39.1	-14.1			50		Not Cataloged
ISS061-E-132328	20200118	39.1	-14.1			50		Not Cataloged
ISS061-E-132329	20200118	39.1	-14.0			50		Not Cataloged
ISS061-E-132330	20200118	39.1	-14.0			50		Not Cataloged
ISS061-E-132331	20200118	39.2	-14.0			50		Not Cataloged
ISS061-E-132332	20200118	39.2	-14.0			50		Not Cataloged
ISS061-E-132333	20200118	39.2	-13.9			50		Not Cataloged
ISS061-E-132334	20200118	39.2	-13.9			50		Not Cataloged
ISS061-E-132335	20200118	39.3	-13.9			50		Not Cataloged
ISS061-E-132336	20200118	39.3	-13.9			50		Not Cataloged
ISS061-E-132337	20200118	39.3	-13.8			50		Not Cataloged
ISS061-E-132338	20200118	39.3	-13.8			50		Not Cataloged
ISS061-E-132339	20200118	39.3	-13.7			50		Not Cataloged
ISS061-E-132340	20200118	39.3	-13.7			50		Not Cataloged
ISS061-E-132341	20200118	39.4	-13.7			50		Not Cataloged
ISS061-E-132342	20200118	39.4	-13.7			50		Not Cataloged
ISS061-E-132343	20200118	39.4	-13.6			50		Not Cataloged
ISS061-E-132344	20200118	39.4	-13.6			50		Not Cataloged
ISS061-E-132345	20200118	39.4	-13.5			50		Not Cataloged
ISS061-E-132346	20200118	39.4	-13.5			50		Not Cataloged
ISS061-E-132347	20200118	39.5	-13.5			50		Not Cataloged
ISS061-E-132348	20200118	39.5	-13.5			50		Not Cataloged
ISS061-E-132349	20200118	39.5	-13.4			50		Not Cataloged
ISS061-E-132350	20200118	39.5	-13.4			50		Not Cataloged
ISS061-E-132351	20200118	39.6	-13.4			50		Not Cataloged
ISS061-E-132352	20200118	39.6	-13.4			50		Not Cataloged
ISS061-E-132353	20200118	39.6	-13.3			50		Not Cataloged
ISS061-E-132354	20200118	39.6	-13.3			50		Not Cataloged
ISS061-E-132355	20200118	39.6	-13.2			50	PAN-	Not Cataloged
ISS061-E-132356	20200118	39.6	-13.2			50		Not Cataloged
ISS061-E-132357	20200118	39.7	-13.2			50		Not Cataloged
ISS061-E-132358	20200118	39.7	-13.2			50	PAN-	Not Cataloged
ISS061-E-132359	20200118	39.7	-13.1			50	PAN-	Not Cataloged
ISS061-E-132360	20200118	39.7	-13.1			50	PAN-	Not Cataloged
ISS061-E-132361	20200118	39.8	-13.0			50	PAN-	Not Cataloged
ISS061-E-132362	20200118	39.8	-13.0			50	PAN-	Not Cataloged
ISS061-E-132363	20200118	39.8	-13.0			50	PAN-	Not Cataloged
ISS061-E-132364	20200118	39.8	-13.0			50	PAN-	Not Cataloged
ISS061-E-132365	20200118	39.8	-12.9			50	PAN-	Not Cataloged
ISS061-E-132366	20200118	39.8	-12.9			50		Not Cataloged
ISS061-E-132367	20200118	39.9	-12.9			50	PAN-	Not Cataloged
ISS061-E-132368	20200118	39.9	-12.9			50	PAN-	Not Cataloged
ISS061-E-132369	20200118	39.9	-12.8			50	PAN-	Not Cataloged
ISS061-E-132370	20200118	39.9	-12.8			50	PAN-	Not Cataloged
ISS061-E-132371	20200118	39.9	-12.7			50	PAN-	Not Cataloged
ISS061-E-132372	20200118	39.9	-12.7			50	PAN-	Not Cataloged
ISS061-E-132373	20200118	40.0	-12.7			50	PAN-	Not Cataloged
ISS061-E-132374	20200118	40.0	-12.7			50	PAN-	Not Cataloged
ISS061-E-132375	20200118	40.0	-12.6			50	PAN-	Not Cataloged
ISS061-E-132376	20200118	40.0	-12.6			50	PAN-	Not Cataloged
ISS061-E-132377	20200118	40.1	-12.5			50	PAN-	Not Cataloged
ISS061-E-132378	20200118	40.1	-12.5			50	PAN-	Not Cataloged
ISS061-E-132379	20200118	40.1	-12.5			50	PAN-	Not Cataloged
ISS061-E-132380	20200118	40.1	-12.5			50	PAN-	Not Cataloged
ISS061-E-132381	20200118	40.1	-12.4			50	PAN-	Not Cataloged
ISS061-E-132382	20200118	40.1	-12.4			50		Not Cataloged
ISS061-E-132383	20200118	40.2	-12.3			50	PAN-	Not Cataloged
ISS061-E-132384	20200118	40.2	-12.3			50		Not Cataloged
ISS061-E-132385	20200118	40.2	-12.3			50		Not Cataloged
ISS061-E-132386	20200118	40.2	-12.3			50	PAN-	Not Cataloged
ISS061-E-132387	20200118	40.3	-12.2			50		Not Cataloged
ISS061-E-132388	20200118	40.3	-12.2			50		Not Cataloged
ISS061-E-132389	20200118	40.3	-12.2			50		Not Cataloged
ISS061-E-132390	20200118	40.3	-12.2			50		Not Cataloged
ISS061-E-132391	20200118	40.3	-12.1			50		Not Cataloged
ISS061-E-132392	20200118	40.3	-12.1			50		Not Cataloged
ISS061-E-132393	20200118	40.4	-12.0			50		Not Cataloged
ISS061-E-132394	20200118	40.4	-12.0			50		Not Cataloged
ISS061-E-132395	20200118	40.4	-12.0			50		Not Cataloged
ISS061-E-132396	20200118	40.4	-12.0			50		Not Cataloged
ISS061-E-132397	20200118	40.4	-11.9			50		Not Cataloged
ISS061-E-132398	20200118	40.4	-11.9			50		Not Cataloged
ISS061-E-132399	20200118	40.5	-11.8			50		Not Cataloged
ISS061-E-132400	20200118	40.5	-11.8			50		Not Cataloged
ISS061-E-132401	20200118	40.5	-11.8			50		Not Cataloged
ISS061-E-132402	20200118	40.5	-11.8			50		Not Cataloged
ISS061-E-132403	20200118	40.6	-11.7			50		Not Cataloged
ISS061-E-132404	20200118	40.6	-11.7			50		Not Cataloged
ISS061-E-132405	20200118	40.6	-11.6			50		Not Cataloged
ISS061-E-132406	20200118	40.6	-11.6			50		Not Cataloged
ISS061-E-132407	20200118	40.6	-11.6			50		Not Cataloged
ISS061-E-132408	20200118	40.6	-11.6			50		Not Cataloged
ISS061-E-132409	20200118	40.7	-11.5			50		Not Cataloged
ISS061-E-132410	20200118	40.7	-11.5			50		Not Cataloged
ISS061-E-132411	20200118	40.7	-11.4			50		Not Cataloged
ISS061-E-132412	20200118	40.7	-11.4			50		Not Cataloged
ISS061-E-132413	20200118	40.7	-11.4			50		Not Cataloged
ISS061-E-132414	20200118	40.7	-11.4			50		Not Cataloged
ISS061-E-132415	20200118	40.8	-11.3			50		Not Cataloged
ISS061-E-132416	20200118	40.8	-11.3			50		Not Cataloged
ISS061-E-132417	20200118	40.8	-11.2			50		Not Cataloged
ISS061-E-132418	20200118	40.8	-11.2			50		Not Cataloged
ISS061-E-132419	20200118	40.9	-11.2			50		Not Cataloged
ISS061-E-132420	20200118	40.9	-11.2			50		Not Cataloged
ISS061-E-132421	20200118	40.9	-11.1			50		Not Cataloged
ISS061-E-132422	20200118	40.9	-11.1			50		Not Cataloged
ISS061-E-132423	20200118	40.9	-11.0			50		Not Cataloged
ISS061-E-132424	20200118	40.9	-11.0			50		Not Cataloged
ISS061-E-132425	20200118	41.0	-11.0			50		Not Cataloged
ISS061-E-132426	20200118	41.0	-11.0			50		Not Cataloged
ISS061-E-132427	20200118	41.0	-10.9			50		Not Cataloged
ISS061-E-132428	20200118	41.0	-10.9			50		Not Cataloged
ISS061-E-132429	20200118	41.0	-10.8			50		Not Cataloged
ISS061-E-132430	20200118	41.0	-10.8			50		Not Cataloged
ISS061-E-132431	20200118	41.1	-10.8			50		Not Cataloged
