nasa_id,lat,lon,elev,fclt,distance_deg
ISS052-E-25140,42.9,10.9,-28.0,50.0,10.800197205928953
ISS052-E-25141,42.8,10.9,-28.0,50.0,10.78178881392032
ISS052-E-25142,42.8,11.0,-28.0,50.0,10.853983632899144
ISS052-E-25143,42.7,11.1,-28.0,50.0,10.909149047853104
ISS052-E-25144,42.7,11.1,-28.0,50.0,10.909149047853104
ISS052-E-25145,42.7,11.2,-29.0,50.0,10.98163218828885
ISS052-E-25146,42.6,11.3,-29.0,50.0,11.03840499528715
ISS052-E-25147,42.6,11.4,-29.0,50.0,11.111160109115739
ISS052-E-25148,42.6,11.4,-29.0,50.0,11.111160109115739
ISS052-E-25149,42.5,11.5,-29.0,50.0,11.169498782179899
ISS052-E-25150,42.5,11.6,-29.0,50.0,11.242510313483374
ISS052-E-25151,42.5,11.6,-29.0,50.0,11.242510313483374
ISS052-E-25152,42.4,11.7,-29.0,50.0,11.302374269867041
ISS052-E-25153,42.4,11.8,-29.0,50.0,11.375627427781023
ISS052-E-25154,42.4,11.8,-29.0,50.0,11.375627427781023
ISS052-E-25155,42.3,11.9,-29.0,50.0,11.436977044530035
ISS052-E-25156,42.3,12.0,-29.0,50.0,11.510457775636983
ISS052-E-25157,42.3,12.1,-29.0,50.0,11.58395432698766
ISS052-E-25158,42.2,12.1,-29.0,50.0,11.573254400759033
ISS052-E-25159,42.2,12.2,-29.0,50.0,11.646949361207584
ISS052-E-25160,42.1,12.3,-29.0,50.0,11.711155320010775
ISS052-E-25161,42.1,12.3,-29.0,50.0,11.711155320010775
ISS052-E-25162,42.1,12.4,-29.0,50.0,11.785051847570529
ISS052-E-25163,42.0,12.5,-29.0,50.0,11.850630444696185
ISS052-E-25164,42.0,12.5,-29.0,50.0,11.850630444696185
ISS052-E-25165,42.0,12.6,-29.0,50.0,11.924716530928835
ISS052-E-25166,41.9,12.7,-30.0,50.0,11.991632048569402
ISS052-E-25167,41.9,12.7,-30.0,50.0,11.991632048569402
ISS052-E-25168,41.9,12.8,-30.0,50.0,12.06589631127074
ISS052-E-25169,41.8,12.9,-30.0,50.0,12.134114004028536
ISS052-E-25170,41.8,12.9,-30.0,50.0,12.134114004028536
ISS052-E-25171,41.7,13.0,-30.0,50.0,12.2034477805326
ISS052-E-25172,41.7,13.1,-30.0,50.0,12.278031746880169
ISS052-E-25173,41.7,13.1,-30.0,50.0,12.278031746880169
ISS052-E-25174,41.6,13.2,-30.0,50.0,12.348609430044855
ISS052-E-25175,41.6,13.3,-30.0,50.0,12.423342239064082
ISS052-E-25176,41.6,13.3,-30.0,50.0,12.423342239064082
ISS052-E-25177,41.5,13.4,-30.0,50.0,12.495131554780862
ISS052-E-25178,41.5,13.5,-30.0,50.0,12.570003929782546
ISS052-E-25179,41.5,13.5,-30.0,50.0,12.570003929782546
ISS052-E-25180,41.4,13.6,-30.0,50.0,12.642973545223825
ISS052-E-25181,41.4,13.7,-30.0,50.0,12.717976715429833
ISS052-E-25182,41.3,13.7,-30.0,50.0,12.716970990700556
ISS052-E-25183,41.3,13.8,-30.0,50.0,12.792096222546943
ISS052-E-25184,41.3,13.9,-30.0,50.0,12.867221898672447
ISS052-E-25185,41.2,13.9,-30.0,50.0,12.867221029294587
ISS052-E-25186,41.2,14.0,-30.0,50.0,12.942461796327846
ISS052-E-25187,41.2,14.1,-31.0,50.0,13.017702146988771
